id,category,layer,answer_prob,trap_prob,entropy,pred,correct
en_001,science,0,0.17678412178065694,0.5386096275276927,1.194413563365201,Venus,False
en_001,science,2,0.18401058840681075,0.5326495353897829,1.200687496157167,Venus,False
en_001,science,4,0.21546777453879765,0.5056596870738042,1.2246841698294877,Venus,False
en_001,science,6,0.27089856702100445,0.4790577652622346,1.2262579531181874,Venus,False
en_001,science,8,0.40006892191994337,0.383551422468537,1.2152605106872056,Mars,True
en_001,science,10,0.49361452160200286,0.3121551568338116,1.1647495564304076,Mars,True
en_001,science,12,0.5254789234807457,0.28800084938207055,1.1390828174541885,Mars,True
en_002,geography,0,0.1783610933618289,0.5195259503653903,1.2186541500104275,Sydney,False
en_002,geography,2,0.18826667598788882,0.5308106221604938,1.2019753135785383,Sydney,False
en_002,geography,4,0.20113482919927636,0.5264772630903387,1.20337481054605,Sydney,False
en_002,geography,6,0.27043313653694645,0.4652322600189982,1.244578326577355,Sydney,False
en_002,geography,8,0.3844910885426081,0.3912514017858925,1.225353880623994,Sydney,False
en_002,geography,10,0.4788380731016078,0.31725801385112185,1.1823123484198477,Canberra,True
en_002,geography,12,0.5340843826077973,0.2786573324892058,1.1344981578588031,Canberra,True
en_003,history,0,0.18068775218722774,0.545685154983984,1.1837638437141123,Charlotte Bronte,False
en_003,history,2,0.18843415697273666,0.5392943745017533,1.190419653453443,Charlotte Bronte,False
en_003,history,4,0.20882063020224048,0.5207071913048451,1.2077358048766305,Charlotte Bronte,False
en_003,history,6,0.2731990259801448,0.48055928701771466,1.2221207380619363,Charlotte Bronte,False
en_003,history,8,0.39288902446030716,0.38722612112115884,1.21987783280748,Jane Austen,True
en_003,history,10,0.482480873769197,0.3310603737458758,1.1600030033145865,Jane Austen,True
en_003,history,12,0.5161142228173543,0.30174800292779774,1.1393367159483279,Jane Austen,True
en_004,science,0,0.17686265577260651,0.526892669300515,1.2094736199887046,Oxygen,False
en_004,science,2,0.1759740112342051,0.5286049356204368,1.2076915892848739,Oxygen,False
en_004,science,4,0.20525526593117813,0.5164420617650477,1.2151278240551937,Oxygen,False
en_004,science,6,0.2670322378992363,0.47261540579017236,1.2375860125390463,Oxygen,False
en_004,science,8,0.37832366453234967,0.39612629286294776,1.2267623624894926,Oxygen,False
en_004,science,10,0.4737346238986073,0.3238337838486597,1.1826528674481136,Carbon dioxide,True
en_004,science,12,0.5282453461703887,0.2842829754907898,1.1383316124521703,Carbon dioxide,True
en_005,sports,0,0.17946322600774295,0.528430922272196,1.2065639264069898,10,False
en_005,sports,2,0.18364949110564485,0.5271369735560242,1.2075615030495008,10,False
en_005,sports,4,0.20960026442737803,0.5130109807421903,1.2176688117378354,10,False
en_005,sports,6,0.2725821240826618,0.4659283684240247,1.2420138298749321,10,False
en_005,sports,8,0.386119304722004,0.3834741734526746,1.2326849976643655,11,True
en_005,sports,10,0.4827824225928866,0.3190222789621513,1.1740937297193668,11,True
en_005,sports,12,0.519178520455951,0.2894376866512884,1.1481139193098198,11,True
en_006,literature,0,0.18417978776834432,0.536008471375349,1.196183058283629,Italian,False
